title,Genre,Premiere,Runtime,IMDB Score,Language,id,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
Secret Obsession,Thriller,"July 18, 2019",97,4.4,English,tm814671,MOVIE,"Recuperating from trauma, Jennifer remains in danger as she returns to a life she doesn't remember.",2019.0,,97.0,"['drama', 'thriller']",['US'],,tt9419834,4.4,21578.0,18.658,5.5
Sextuplets,Comedy,"August 16, 2019",99,4.4,English,tm494731,MOVIE,"Father-to-be Alan is shocked to learn that he was born a sextuplet. With his newfound brother Russell riding shotgun, the duo sets out on a hilarious journey to reunite with their remaining long-lost siblings.",2019.0,,97.0,['comedy'],['US'],,tt8976710,4.4,8528.0,27.608,6.3
The Girl on the Train,Thriller,"February 26, 2021",120,4.4,Hindi,tm990835,MOVIE,"When a voyeuristic divorcee fixates on the lives of a perfect couple a far, she soon gets embroiled in a murder mystery that unfolds revealing truths about her own life.",2021.0,,128.0,"['drama', 'thriller', 'crime']",['IN'],,tt8907992,4.4,14348.0,16.169,5.9
Thunder Force,Superhero-Comedy,"April 9, 2021",105,4.4,English,tm1020073,MOVIE,"In a world where supervillains are commonplace, two estranged childhood best friends reunite after one devises a treatment that gives them powers to protect their city.",2021.0,PG-13,107.0,"['scifi', 'comedy', 'fantasy', 'action']",['US'],,tt10121392,4.4,41508.0,47.631,5.7
Fatal Affair,Thriller,"July 16, 2020",89,4.5,English,tm898759,MOVIE,"Ellie tries to mend her marriage with her husband Marcus after a brief encounter with an old friend, David, only to find that David is more dangerous and unstable than she'd realized.",2020.0,,89.0,['thriller'],['US'],,,,,20.151,5.8
Just Say Yes,Romantic comedy,"April 2, 2021",97,4.5,Dutch,tm904862,MOVIE,Incurable romantic Lotte's life is upended when her plans for a picture-perfect wedding unravel--just as her self-absorbed sister gets engaged.,2021.0,,97.0,"['comedy', 'romance']",['NL'],,tt12154638,4.5,1968.0,47.626,6.533
Seriously Single,Comedy,"July 31, 2020",107,4.5,English,tm862830,MOVIE,"Dineo is the definition of serial monogamist. She dates to fall in love; she falls in love to get married. But she never gets married. She always ends up being dumped. When she meets Lunga Sibiya, he seems to be the man she's waited her whole life for, a man who shares her values when it comes to love and relationships. Or so she thinks - Until she accidentally finds out that the man she was busy planning her forever with, had been planning his forever with someone else. After a messy breakup with Lunga, her commitment-phobic bestie, Noni, helps Dineo face what she dreads most: life as a single woman. Forced to move out of Lunga's apartment, Dineo seeks refuge with Noni. But letting go of another failed relationship is hard for Dineo. Now at her lowest point, Noni encourages Dineo to enjoy the spoils of singledom. Have fun. Meet new people. Become her own person. It's an intimidating notion for Dineo. She hasn't been single in years. But Noni is happy to be her guide. Together, they take the city night life by storm. But love is a difficult thing to avoid: Noni unexpectedly finds herself falling for an unlikely man and Dineo struggles to sidestep the traps of her romantic flaws. This is further complicated when Lunga realises the mistake he's made and declares his undying love to Dineo, wanting her back. Is Dineo strong enough to honour the new version of herself or will her fear of loneliness have her running back into Lunga's arms?",2020.0,,107.0,"['comedy', 'romance']",['ZA'],,tt11010144,4.4,1266.0,7.403,7.0
The Misadventures of Hedi and Cokeman,Comedy,"February 10, 2021",99,4.5,French,tm996996,MOVIE,"In Paris, two dysfunctional dealers use family ties to try to boost their small drug business in this crass comedy based on the webseries.",2021.0,,99.0,"['action', 'crime', 'comedy']",['FR'],,tt13669344,4.4,641.0,19.908,
5 Star Christmas,Comedy,"December 7, 2018",95,4.6,Italian,tm444821,MOVIE,"When the Italian Premier and his companion find a dead body in his hotel suite, while on a trip to Hungary, they find themselves embroiled in a series of comedic situations as they try to avoid a scandal.",2018.0,,92.0,"['comedy', 'european']",['IT'],,tt8775056,4.5,775.0,8.805,4.2
After Maria,Documentary,"May 24, 2019",37,4.6,English/Spanish,tm472961,MOVIE,Strong Puerto Rican women forced to flee the island after Hurricane Maria have bonded like family in a FEMA hotel in the Bronx. They seek stability in their new life as forces try to pull them apart.,2019.0,,35.0,['documentation'],['US'],,,,,1.997,5.5
I Am the Pretty Thing That Lives in the House,Horror,"October 28, 2016",89,4.6,English,tm244880,MOVIE,A young nurse takes care of elderly author who lives in a haunted house.,2016.0,,89.0,"['horror', 'thriller', 'drama']","['CA', 'US']",,tt5059406,4.6,14580.0,9.719,4.4
Paris Is Us,Romance drama,"February 22, 2019",83,4.6,French,tm372035,MOVIE,"Dreams and reality collide as a young woman navigates a tumultuous relationship amid rising social tensions, protests and tragedies in Paris.",2019.0,,84.0,"['drama', 'european']",['FR'],,tt7920024,4.6,1425.0,7.113,4.3
Porta dos Fundos: The First Temptation of Christ,Comedy,"December 3, 2019",46,4.6,Portuguese,,,,,,,,,,,,,,
Rattlesnake,Horror,"October 25, 2019",85,4.6,English,tm449590,MOVIE,"After a mysterious woman saves her daughter from a deadly snakebite, a single mother must repay the debt by killing a stranger before sundown.",2019.0,,85.0,"['horror', 'thriller', 'crime', 'drama']",['US'],,tt9257484,4.6,8629.0,14.704,5.2
The Players,Comedy,"July 15, 2020",88,4.6,Italian,,,,,,,,,,,,,,
We Are One,Documentary,"July 14, 2020",86,4.6,French,tm912399,MOVIE,"Activists around the world fight injustice and drive social change in this documentary that follows their participation in the music video ""Solidarité.""",2020.0,,86.0,['documentation'],['FR'],,tt12588398,4.7,93.0,3.168,5.8
Finding Agnes,Drama,"November 30, 2020",105,4.7,Filipino,tm947446,MOVIE,"On an emotional journey in Morocco, an entrepreneur pieces together the turbulent life of his estranged mother and meets her adopted daughter.",2020.0,,105.0,['drama'],['PH'],,tt13328840,5.0,158.0,1.801,5.5
IO,Science fiction/Drama,"January 18, 2019",95,4.7,English,tm285317,MOVIE,"As a young scientist searches for a way to save a dying Earth, she finds a connection with a man who's racing to catch the last shuttle off the planet.",2019.0,PG-13,96.0,"['scifi', 'romance', 'drama']",['US'],,tt3256226,4.7,34180.0,25.116,4.9
Sentinelle,Action,"March 5, 2021",80,4.7,French,tm998726,MOVIE,"Transferred home after a traumatizing combat mission, a highly trained French soldier uses her lethal skills to hunt down the man who hurt her sister.",2021.0,,80.0,"['thriller', 'action', 'drama', 'crime']",['FR'],,tt11734264,4.7,7844.0,59.784,5.9
Sol Levante,Anime / Short,"April 2, 2020",4,4.7,English,tm882875,MOVIE,A young warrior and her familiar search for the sacred place said to fulfill wishes. It's best not to anger the ancient guardians and spirits.,2020.0,,4.0,"['fantasy', 'scifi']",['JP'],,,,,2.659,5.4
The Binding,Drama,"October 2, 2020",93,4.7,Italian,tm932609,MOVIE,"While visiting her fiancé's mother in southern Italy, a woman must fight the mysterious and malevolent curse intent on claiming her daughter.",2020.0,,93.0,"['horror', 'thriller', 'drama']",['IT'],,tt10914452,4.8,4203.0,31.54,5.4
We Can Be Heroes,Superhero,"December 25, 2020",100,4.7,English,tm974366,MOVIE,"When alien invaders capture Earth's superheroes, their kids must learn to work together to save their parents - and the planet.",2020.0,PG,97.0,"['fantasy', 'drama', 'family', 'action', 'comedy']",['US'],,tt10600398,4.7,14759.0,72.986,6.2
Christmas Crossfire,Thriller,"December 4, 2020",106,4.8,German,tm975398,MOVIE,"A man foils an attempted murder, then flees the crew of would-be killers along with their intended target as a woman he's just met tries to find him.",2020.0,,106.0,"['thriller', 'comedy', 'crime']",['DE'],,tt13446424,4.8,1373.0,6.882,4.5
Coin Heist,Heist,"January 6, 2017",97,4.8,English,tm275437,MOVIE,"When a crisis threatens to destroy their high school, four teens hatch a daring plan to raise $10 million. Step one? Breaking into the U.S. Mint.",2017.0,PG,97.0,"['family', 'crime', 'drama', 'romance', 'thriller']",['US'],,tt5740806,4.7,2743.0,9.366,5.4
Mrs. Serial Killer,Thriller,"May 1, 2020",106,4.8,Hindi,tm886214,MOVIE,"When her husband is framed and imprisoned for serial murders, a doting wife must perform a copycat murder, to prove her husband's innocence.",2020.0,,106.0,"['thriller', 'drama', 'crime']",['IN'],,tt10230426,4.2,19484.0,5.325,6.4
Nobody Sleeps in the Woods Tonight,Horror,"October 28, 2020",103,4.8,Polish,tm858954,MOVIE,"Addicted to technology, a group of teens attends a rehabilitation camp in the forest, but a sinister force there intends to take them offline forever.",2020.0,,102.0,"['horror', 'thriller', 'drama', 'romance', 'fantasy', 'european']",['PL'],,tt11240506,4.9,11603.0,91.502,5.0
Take the 10,Comedy,"January 20, 2017",80,4.8,English,tm285329,MOVIE,"A day in the life of two best friends, a drug dealer, and a store manager collide at a hip-hop concert in the Inland Empire.",2017.0,,80.0,['comedy'],['US'],,tt5792472,4.7,3159.0,8.599,5.2
The Main Event,Comedy,"April 10, 2020",101,4.8,English,tm836674,MOVIE,"After discovering a magical mask, an 11-year-old aspiring wrestler enters a competition to become the next WWE superstar by using special powers from a magical mask.",2020.0,,102.0,"['family', 'comedy', 'action', 'fantasy', 'sport']",['US'],,tt10540242,4.8,2327.0,15.911,6.7
The Ridiculous 6,Western,"December 11, 2015",119,4.8,English,tm214825,MOVIE,"When his long-lost outlaw father returns, Tommy ""White Knife"" Stockburn goes on an adventure-filled journey across the Old West with his five brothers.",2015.0,PG-13,119.0,"['western', 'comedy', 'action']",['US'],,tt2479478,4.8,47935.0,40.711,5.152
Earth and Blood,Action,"April 17, 2020",80,4.9,French,tm883113,MOVIE,A sawmill owner and his teenage daughter become tangled in a deadly feud when a drug dealer stashes stolen cocaine on their remote property.,2020.0,,80.0,"['action', 'thriller']","['BE', 'FR']",,,,,17.451,6.2
Fearless,Animation/Superhero,"August 14, 2020",89,4.9,English,ts38812,SHOW,"On a journey from Brazil to the Las Vegas championships, professional bull riders risk it all to earn money, respect and titles.",2016.0,,42.0,"['documentation', 'reality']",['US'],2.0,tt9556710,7.0,304.0,3.34,8.0
Fearless,Animation/Superhero,"August 14, 2020",89,4.9,English,tm918962,MOVIE,A teen gamer is forced to level up to full-time babysitter when his favorite video game drops three superpowered infants from space into his backyard.,2020.0,PG,89.0,"['animation', 'family', 'scifi', 'documentation', 'comedy']",['CA'],,tt8675288,4.9,1735.0,17.412,6.2
Holiday Rush,Family film,"November 28, 2019",94,4.9,English,tm838705,MOVIE,"After his sudden firing, a popular radio DJ moves in with his aunt, bringing along his four spoiled children, and a plan to return to the airwaves.",2019.0,,94.0,"['drama', 'comedy', 'romance', 'family']",['US'],,tt10091530,4.9,2723.0,10.776,5.6
The Day of the Lord,Drama,"October 30, 2020",93,4.9,Spanish,,,,,,,,,,,,,,
Airplane Mode,Comedy,"January 23, 2020",96,5.0,Portuguese,tm832903,MOVIE,"Follows the young Ana, who studied fashion design dreaming of becoming a great stylist but dropped everything to become a digital influencer for a famous brand.",2020.0,,96.0,"['comedy', 'drama', 'romance']",['BR'],,tt10731748,5.1,2603.0,11.49,6.3
How It Ends,Action-thriller,"July 13, 2018",113,5.0,English,tm420745,MOVIE,A desperate father tries to return home to his pregnant wife after a mysterious apocalyptic event turns everything to chaos.,2018.0,,113.0,"['scifi', 'thriller', 'action', 'drama']","['US', 'CA']",,tt5246700,5.0,52709.0,18.214,5.3
Love Like the Falling Rain,Drama,"October 15, 2020",86,5.0,Indonesian,tm866495,MOVIE,"Fearing rejection, a young man struggles to declare his feelings for his best friend, who soon falls for another man — until a fateful incident.",2020.0,,86.0,"['drama', 'romance', 'fantasy']",['ID'],,tt12217814,4.7,205.0,3.639,6.2
Rebirth,Thriller,"July 15, 2016",100,5.0,English,tm244638,MOVIE,A man's life is turned inside out after a visit from his college friend leads him into the unexpected.,2016.0,,101.0,['thriller'],['US'],,tt4902716,4.9,5290.0,8.68,4.7
Squared Love,Romantic comedy,"February 11, 2021",102,5.0,Polish,tm1000185,MOVIE,A celebrity journalist and renowned womanizer starts to rethink his life choices after he falls for a mysterious model who leads a double life.,2021.0,,102.0,"['comedy', 'romance']",['PL'],,tt13846542,5.1,3158.0,14.92,6.1
Cadaver,Horror,"October 22, 2020",86,5.1,Norwegian,tm936236,MOVIE,"In the aftermath of a nuclear disaster, a starving family find hope in a charismatic hotel owner. Lured by the prospect of a free dinner, they discover that the evening's entertainment blurs the lines between performance and reality. Will they wind up the spectators or the spectacle?",2020.0,,86.0,"['thriller', 'horror', 'drama']","['FI', 'NO']",,tt11284280,5.1,9860.0,39.028,5.6
Clinical,Thriller,"January 13, 2017",104,5.1,English,tm285171,MOVIE,"A psychiatrist tries to put her life back together after a violent attack by seeking to repair the life of a new patient, but he has his own terrifying history.",2017.0,,104.0,"['thriller', 'horror']",['US'],,tt5577742,5.1,8030.0,8.524,5.3
Coffee & Kareem,Action comedy,"April 3, 2020",88,5.1,English,tm814644,MOVIE,"Twelve-year-old Kareem Manning hires a criminal to scare his mom's new boyfriend -police officer James Coffee - but it backfires, forcing Coffee and Kareem to team up in order to save themselves from Detroit's most ruthless drug kingpin.",2020.0,,88.0,"['crime', 'action', 'comedy']",['US'],,tt9898858,5.1,13535.0,11.17,5.5
Dude,Teen comedy-drama,"April 20, 2018",97,5.1,English,tm324870,MOVIE,Four best friends negotiate loss and major life changes during the last two weeks of high school.,2018.0,,90.0,"['comedy', 'drama']",['US'],,tt3458510,5.2,6873.0,10.798,5.5
Geez & Ann,Romantic drama,"February 25, 2021",105,5.1,Indonesian,tm918777,MOVIE,"After falling for Geez, a heartthrob at school, Ann must confront family opposition, heartache, and deception as their romance struggles.",2021.0,,105.0,"['drama', 'romance']",['ID'],,tt11936782,5.0,290.0,3.238,7.2
The Larva Island Movie,Animation,"July 23, 2020",90,5.1,English,tm912327,MOVIE,"Back at home, Chuck relates the island shenanigans of his larva pals Red and Yellow to a skeptical reporter in this movie sequel to the hit cartoon.",2020.0,,89.0,"['animation', 'family', 'comedy']",['KR'],,tt12588448,5.1,655.0,71.987,7.2
#REALITYHIGH,Comedy,"September 8, 2017",99,5.2,English,,,,,,,,,,,,,,
American Factory: A Conversation with the Obamas ,Aftershow / Interview,"August 21, 2019",10,5.2,English,,,,,,,,,,,,,,
Desperados,Romantic comedy,"July 3, 2020",106,5.2,English,tm893816,MOVIE,"A panicked young woman and her two best friends fly to Mexico to delete a ranting email she sent to her new boyfriend. On arrival, they run into her former beau, who soon gets caught up in their frantic scheme.",2020.0,,105.0,"['comedy', 'romance']",['US'],,tt10050362,5.2,10269.0,8.691,6.1
Dolly Parton's Christmas on the Square,Christmas musical,"November 22, 2020",98,5.2,English,tm938227,MOVIE,A rich and nasty woman returns to her hometown to evict everyone but discovers the true meaning of Christmas thanks to the local townsfolk – and an actual angel. Features 14 original songs with music and lyrics by Dolly Parton!,2020.0,PG,98.0,"['comedy', 'music', 'family']",['US'],,tt10627548,5.2,2686.0,4.223,5.9
Father of the Year,Comedy,"July 20, 2018",94,5.2,English,tm420989,MOVIE,"Two college grads return to their hometown, where a hypothetical question -- whose dad would win in a fight? -- leads to mass mayhem.",2018.0,,94.0,['comedy'],['US'],,tt7256866,5.2,11545.0,10.981,5.4
Firebrand,Drama,"February 22, 2019",112,5.2,Marathi,tm459329,MOVIE,"While she advocates for her female clients in divorce cases, a lawyer's trauma from sexual violence impacts her own marriage.",2019.0,,116.0,['drama'],['IN'],,tt8852536,5.1,280.0,2.824,7.3
Ghost Lab,Horror,"May 26, 2021",117,5.2,Thai,tm1038364,MOVIE,"After witnessing a haunting in their hospital, two doctors become dangerously obsessed with obtaining scientific proof that ghosts exist.",2021.0,,117.0,"['thriller', 'drama', 'horror', 'scifi']",['TH'],,tt13446126,5.1,1424.0,50.322,6.5
Girlfriend's Day,Comedy,"February 14, 2017",70,5.2,English,tm285340,MOVIE,"When he's caught up in a deadly conspiracy, an unemployed greeting card writer must create the perfect card for a new holiday to save his skin.",2017.0,,70.0,"['comedy', 'drama']",['US'],,tt2962984,5.2,4381.0,8.861,4.8
Handsome: A Netflix Mystery Movie,Comedy,"May 5, 2017",81,5.2,English,tm313748,MOVIE,LA homicide detective Gene Handsome's knack for solving mysteries is matched only by his inability to make sense of his own problems.,2017.0,,81.0,"['comedy', 'documentation']",['US'],,tt5809020,5.2,4551.0,9.029,5.3
Hubie Halloween,Comedy,"October 7, 2020",103,5.2,English,tm847998,MOVIE,"Hubie Dubois, despite his devotion to his hometown of Salem, Massachusetts (and its legendary Halloween celebration), is a figure of mockery for kids and adults alike. But this year, something really is going bump in the night, and it’s up to Hubie to save Halloween.",2020.0,PG-13,103.0,"['horror', 'comedy', 'thriller', 'fantasy']",['US'],,tt10682266,5.2,48575.0,18.454,6.0
Ibiza,Comedy,"May 25, 2018",94,5.2,English,tm411958,MOVIE,She could do the responsible thing. Or she could go to Ibiza with her best friends to chase down a hot DJ. Easy choice.,2018.0,,94.0,"['comedy', 'romance']",['US'],,tt3685236,5.2,17517.0,9.813,5.7
Rim of the World,Science fiction adventure,"May 24, 2019",98,5.2,English,tm420455,MOVIE,"Stranded at a summer camp when aliens attack the planet, four teens with nothing in common embark on a perilous mission to save the world.",2019.0,PG,99.0,"['scifi', 'action', 'comedy']",['US'],,tt8179388,5.2,23987.0,22.933,6.0
Sandy Wexler,Comedy,"April 14, 2017",131,5.2,English,tm266685,MOVIE,"When a hapless but dedicated talent manager signs his first client who actually has talent, his career finally starts to take off.",2017.0,,130.0,['comedy'],['US'],,tt5893332,5.2,17039.0,15.142,5.5
See You Yesterday,Science fiction,"May 17, 2019",87,5.2,English,tm465724,MOVIE,"As two teen prodigies try to master the art of time travel, a tragic police shooting sends them on a series of dangerous trips to the past.",2019.0,,86.0,"['scifi', 'thriller', 'action', 'crime', 'drama']",['US'],,tt8743064,5.2,10725.0,7.583,5.6
Still Laugh-In: The Stars Celebrate,Variety show,"May 14, 2019",60,5.2,English,tm474263,MOVIE,"Hollywood's finest pay tribute to ""Rowan and Martin's Laugh-In"" for an uncensored and unforgettable celebration at The Dolby Theater.",2019.0,,60.0,"['comedy', 'music']",[],,tt9880234,5.2,590.0,2.988,5.5
"Strip Down, Rise Up",Documentary,"February 5, 2021",112,5.2,English,tm985712,MOVIE,"The feature documentary follows women of all walks of life, all ages and ethnic backgrounds, as they shed trauma, body image shame, sexual abuse and other issues locked in their bodies, and embark on a journey to reclaim themselves. The film also gives a rare window into the world of Pole artistry and expression.",2021.0,R,112.0,['documentation'],['US'],,tt13787118,5.2,656.0,15.961,7.0
Tall Girl,Comedy-drama,"September 13, 2019",102,5.2,English,tm827501,MOVIE,"Jodi, the tallest girl in her high school, has always felt uncomfortable in her own skin. But after years of slouching, being made fun of, and avoiding attention at all costs, Jodi finally decides to find the confidence to stand tall.",2019.0,PG,101.0,"['comedy', 'drama', 'romance', 'family']",['US'],,tt9252508,5.2,23452.0,25.358,6.4
The Beast,Drama,"November 27, 2020",99,5.2,Italian,tm941531,MOVIE,"To rescue his daughter, an unstable Special Forces veteran unleashes his inner beast as he pursues her kidnappers — and soon becomes a suspect himself.",2020.0,,90.0,"['crime', 'action', 'drama', 'thriller']",['IT'],,tt11499506,5.2,4323.0,9.785,6.3
The Week Of,Comedy,"April 27, 2018",116,5.2,English,tm370392,MOVIE,The parents of a soon-to-be married couple make the final preparations for the wedding ceremony.,2018.0,PG-13,116.0,['comedy'],['US'],,tt6821012,5.2,21855.0,10.24,5.4
A Christmas Prince: The Royal Wedding,Romantic comedy,"November 30, 2018",92,5.3,English,tm438995,MOVIE,"A year after Amber helped Richard secure the crown. The two are set to tie the knot in a royal Christmas wedding — but their plans are jeopardized when Amber finds herself second-guessing whether or not she's cut out to be queen, and Richard is faced with a political crisis that threatens to tarnish not only the holiday season but the future of the kingdom.",2018.0,PG,92.0,"['romance', 'drama']",['US'],,tt8709036,5.3,10698.0,9.051,6.4
Back to School,Comedy,"August 30, 2019",83,5.3,French,tm826875,MOVIE,Two adults go to their middle school reunion in order to show off their success to old bullies teenage crushes..,2019.0,,83.0,['comedy'],['FR'],,tt10715194,5.3,1267.0,5.563,5.4
Dangerous Lies,Thriller,"April 30, 2020",97,5.3,English,tm883189,MOVIE,"After losing her waitressing job, Katie Franklin takes a job as a caretaker to a wealthy elderly man in his sprawling, empty Chicago estate. The two grow close, but when he unexpectedly passes away and names Katie as his sole heir, she and her husband Adam are pulled into a complex web of lies, deception, and murder. If she's going to survive, Katie will have to question everyone's motives — even the people she loves.",2020.0,,96.0,"['thriller', 'horror', 'drama', 'comedy', 'crime']",['US'],,tt10061766,5.3,16943.0,11.808,6.4
Gunjan Saxena: The Kargil Girl,Drama,"August 12, 2020",112,5.3,Hindi,tm851912,MOVIE,Inspired by the life of a fearless young officer who made history by becoming the first Indian female Air Force officer to fly in a combat zone during the 1999 Kargil War,2020.0,,112.0,"['action', 'drama', 'war']",['IN'],,tt10350626,5.6,34567.0,6.318,7.4
Intuition,Thriller,"May 28, 2020",116,5.3,Spanish,tm856545,MOVIE,"Police officer Pipa works on her first big case while simultaneously investigating her boss, who is suspected of murder. The prequel to ""Perdida"".",2020.0,,116.0,"['thriller', 'crime', 'drama']",['AR'],,tt12282598,5.5,2663.0,15.292,6.3
