Id,Actor_id,Film_id,Character,Role
62,1549,tm127384,Second Swallow-Savvy Guard / The Black Knight / Peasant 3 / Sir Launcelot the Brave / Taunting French Guard / Tim the Enchanter,ACTOR
63,11474,tm127384,Dead Collector / Peasant 1 / Sir Robin the Not-Quite-So-Brave-as-Sir Launcelot / First Swamp Castle Guard / Concorde / Roger the Shrubber / Brother Maynard,ACTOR
64,11473,tm127384,Patsy / Green Knight / Old Man from Scene 24 (Bridgekeeper) / Sir Bors / Animator / Gorilla Hand,ACTOR
65,11475,tm127384,Dennis's Mother / Sir Bedevere / Left Head / Prince Herbert / Voice of Cartoon Scribe,ACTOR
66,11476,tm127384,First Swallow-Savvy Guard / Dennis / Peasant 2 / Right Head / Sir Galahad the Pure / Narrator / King of Swamp Castle / Brother Maynard's Brother / Leader of The Knights Who Say NI!,ACTOR
67,40898,tm127384,The Witch,ACTOR
68,11478,tm127384,Zoot / Dingo,ACTOR
69,11482,tm127384,First Monk / Singing Minstrel / Page Crushed by the Rabbit / Peasant #4,ACTOR
70,40899,tm127384,Old Crone,ACTOR
71,11481,tm127384,Dead Body / Historian Frank,ACTOR
72,40900,tm127384,Historian's Wife,ACTOR
73,40901,tm127384,Dr. Piglet,ACTOR
74,40902,tm127384,Dr. Winston,ACTOR
75,40903,tm127384,Prisoner,ACTOR
76,1275018,tm127384,Girl in Castle Anthrax,ACTOR
77,1462970,tm127384,Girl in Castle Anthrax,ACTOR
78,589811,tm127384,Knight of Ni / Villager at Witch Burning / Musician at Wedding / Monk / Knight in Battle,ACTOR
79,976111,tm127384,Girl in Castle Anthrax,ACTOR
80,1462971,tm127384,Musician at Wedding / Villager at Witch Burning,ACTOR
81,90024,tm127384,Girl in Castle Anthrax,ACTOR
82,1462991,tm127384,Girl in Castle Anthrax,ACTOR
83,1462993,tm127384,Girl in Castle Anthrax,ACTOR
84,1462994,tm127384,Girl in Castle Anthrax,ACTOR
85,1462623,tm127384,Girl in Castle Anthrax,ACTOR
86,1462995,tm127384,Girl in Castle Anthrax,ACTOR
87,1462975,tm127384,Girl in Castle Anthrax,ACTOR
88,1462978,tm127384,Girl in Castle Anthrax,ACTOR
89,703435,tm127384,Girl in Castle Anthrax,ACTOR
90,1463011,tm127384,Girl in Castle Anthrax,ACTOR
91,1462986,tm127384,Girl in Castle Anthrax,ACTOR
92,1462588,tm127384,Girl in Castle Anthrax,ACTOR
93,889417,tm127384,Girl in Castle Anthrax,ACTOR
94,1464056,tm127384,Girl in Castle Anthrax,ACTOR
95,1671807,tm127384,Girl in Castle Anthrax,ACTOR
96,11490,tm127384,Police Sergeant (uncredited),ACTOR
97,84047,tm127384,Peasant (uncredited),ACTOR
98,1463016,tm127384,Guard who Falls into Barrels (uncredited),ACTOR
99,1463018,tm127384,Bash (Mudfighter (uncredited),ACTOR
100,1463021,tm127384,Sir Not-Appearing-in-this-Film (uncredited),ACTOR
101,11475,tm127384,Themselves (uncredited),ACTOR
102,919694,tm127384,Guard Eating Apple (uncredited),ACTOR
103,400172,tm127384,Biff (Mudfighter) (uncredited),ACTOR
104,14908,tm127384,Inspector End of Film (uncredited),ACTOR
105,8327,tm127384,Dancing Knight (uncredited),ACTOR
106,156072,tm127384,Page-turner (uncredited),ACTOR
107,11475,tm127384,unknown,DIRECTOR
108,11473,tm127384,unknown,DIRECTOR
109,35196,tm120801,Maj. John Reisman,ACTOR
110,1050,tm120801,Maj. Gen. Worden,ACTOR
111,16868,tm120801,Joseph Wladislaw,ACTOR
112,14351,tm120801,Robert Jefferson,ACTOR
113,35197,tm120801,Victor Franko,ACTOR
114,35200,tm120801,Sergeant Bowren,ACTOR
115,1061,tm120801,Major Max Armbruster,ACTOR
116,35198,tm120801,Pedro Jiminez,ACTOR
117,21482,tm120801,Captain Stuart Kinder,ACTOR
118,24126,tm120801,Col. Everett Dasher Breed,ACTOR
119,21838,tm120801,Archer Maggott,ACTOR
120,1765,tm120801,Vernon Pinkley,ACTOR
121,35199,tm120801,Samson Posey,ACTOR
122,8044,tm120801,General Denton,ACTOR
123,35201,tm120801,Milo Vladek,ACTOR
124,35202,tm120801,Glenn Gilpin,ACTOR
125,35203,tm120801,Roscoe Lever,ACTOR
126,29814,tm120801,Cpl. Morgan - MP Guard,ACTOR
127,35204,tm120801,Seth Sawyer,ACTOR
128,15345,tm120801,Tassos Bravos,ACTOR
129,2095,tm120801,Pvt. Arthur James Gardner,ACTOR
130,32622,tm120801,Gen. Worden's Aide,ACTOR
131,548877,tm120801,German Officer's Girl,ACTOR
132,361026,tm120801,German Officer in Staff Car (uncredited),ACTOR
133,35206,tm120801,German General in Staff Car (uncredited),ACTOR
134,35207,tm120801,French Servant (uncredited),ACTOR
135,35208,tm120801,Ambulance Driver (uncredited),ACTOR
136,35209,tm120801,Drunken General's Wife (uncredited),ACTOR
137,35210,tm120801,MP Master Sergeant / Hangman (uncredited),ACTOR
138,35211,tm120801,Airborne Soldier (uncredited),ACTOR
139,11181,tm120801,German Officer (uncredited),ACTOR
140,35212,tm120801,Card-Playing German Officer (uncredited),ACTOR
141,21244,tm120801,2nd German Sentry at Chateau (uncredited),ACTOR
142,35213,tm120801,Medical Officer at Hanging (uncredited),ACTOR
143,35214,tm120801,German Porter at Chateau (uncredited),ACTOR
144,10097,tm120801,German Sentry Wanting Light (uncredited),ACTOR
145,35215,tm120801,German Officer (uncredited),ACTOR
146,35216,tm120801,(uncredited),ACTOR
147,35217,tm120801,Prostitute (uncredited),ACTOR
148,35218,tm120801,German Sentry at Chateau (uncredited),ACTOR
149,1062,tm120801,MP at Hanging (uncredited),ACTOR
150,22266,tm120801,MP Lt. Col. in charge at hanging (uncredited),ACTOR
151,35219,tm120801,Prostitute (uncredited),ACTOR
152,4500,tm120801,Sergeant at War Games HQ (uncredited),ACTOR
153,31806,tm120801,Blake (uncredited),ACTOR
154,35220,tm120801,Drunken German General (uncredited),ACTOR
155,35222,tm120801,German Officer Who Seals the Bunker (uncredited),ACTOR
156,35223,tm120801,German Officer (uncredited),ACTOR
157,35224,tm120801,German Officer (uncredited),ACTOR
158,35225,tm120801,German Officer (uncredited),ACTOR
159,35226,tm120801,Airborne Soldier (uncredited),ACTOR
160,2105,tm120801,Army Doctor (uncredited),ACTOR
161,35227,tm120801,Prostitute (uncredited),ACTOR
162,744350,tm120801,Airborne Band Conductor (uncredited),ACTOR
163,1063,tm120801,unknown,DIRECTOR
164,11472,ts22164,Various,ACTOR
165,11476,ts22164,"Various / ""It's"" man",ACTOR
166,11475,ts22164,Various,ACTOR
167,11474,ts22164,Various,ACTOR
168,11473,ts22164,Various,ACTOR
169,11472,tm70993,Wise Man #2 / Brian Cohen / Biggus Dickus,ACTOR
170,1549,tm70993,Wise Man #1 / Reg / Jewish Official / First Centurion / Deadly Dirk / Arthur,ACTOR
171,11473,tm70993,Man Even Further Forward / Revolutionary / Jailer / Blood and Thunder Prophet / Frank / Audience Member / Crucifee,ACTOR
172,11474,tm70993,Mr. Cheeky / Stan 'Loretta' / Harry the Haggler / Culprit Woman / Warris / Intensely Dull Youth / Jailer's Assistant / Otto / Lead Singer Crucifee,ACTOR
173,11475,tm70993,Mandy Cohen / Colin / Simon the Holy Man / Bob Hoskins / Saintly Passer-by / Alarmed Crucifixion Assistant,ACTOR
174,11476,tm70993,Wise Man #3 / Mr. Big Nose / Francis / Mrs. A / Ex-Leper / Announcer / Ben / Pontius Pilate / Boring Prophet / Eddie / Shoe Follower / Nisus Wettus,ACTOR
175,11477,tm70993,Gregory,ACTOR
176,11478,tm70993,Mrs. Gregory,ACTOR
177,11479,tm70993,Jesus,ACTOR
178,11482,tm70993,A Weedy Samaritan,ACTOR
179,11480,tm70993,False Prophet / Blind Man / Giggling Guard / Stig,ACTOR
180,11481,tm70993,"Matthias, Son of Deuteronomy of Gath",ACTOR
181,11483,tm70993,Mrs. Big Nose,ACTOR
182,11484,tm70993,Judith Iscariot,ACTOR
183,548006,tm70993,unknown,ACTOR
184,11485,tm70993,Pilate's Wife,ACTOR
185,11489,tm70993,Alfonso / Giggling Guard,ACTOR
186,11487,tm70993,Another Official Stoners Helper / Giggling Guard,ACTOR
187,11486,tm70993,Parvus / Official Stoners Helper / Giggling Guard,ACTOR
188,73106,tm70993,Spike,ACTOR
189,11488,tm70993,Mr. Papadopolous (uncredited),ACTOR
190,11475,tm70993,unknown,DIRECTOR
191,6050,tm14873,Harry,ACTOR
192,74499,tm14873,Bressler,ACTOR
193,24045,tm14873,Chico,ACTOR
194,29250,tm14873,The Mayor,ACTOR
195,29225,tm14873,Killer,ACTOR
196,63141,tm14873,Chief,ACTOR
197,28420,tm14873,De Georgio,ACTOR
198,83026,tm14873,Mrs. Russell,ACTOR
199,83027,tm14873,Norma,ACTOR
200,83028,tm14873,Bus Driver,ACTOR
201,29253,tm14873,Mr. Jaffe,ACTOR
202,7250,tm14873,Rothko,ACTOR
203,83029,tm14873,Bannerman,ACTOR
204,44085,tm14873,Liquor Proprietor,ACTOR
205,28418,tm14873,Sid Kleinman,ACTOR
206,83030,tm14873,Miss Willis,ACTOR
207,642080,tm14873,Sgt. Reineke,ACTOR
208,24203,tm14873,Bank Robber (uncredited),ACTOR
209,83031,tm14873,Communications Secretary (uncredited),ACTOR
210,83032,tm14873,Suicide Jumper (uncredited),ACTOR
211,83033,tm14873,Swimmer (uncredited),ACTOR
212,6848,tm14873,Pedestrian (uncredited),ACTOR
213,83034,tm14873,TV Watcher (uncredited),ACTOR
214,83035,tm14873,Man in Jaffe's Cafe (uncredited),ACTOR
215,83036,tm14873,(uncredited),ACTOR
216,63147,tm14873,Homicide Detective (uncredited),ACTOR
217,83037,tm14873,Hot Mary (uncredited),ACTOR
218,29725,tm14873,Tunnel Hoodlum (uncredited),ACTOR
219,19846,tm14873,Tunnel Hoodlum (uncredited),ACTOR
220,37760,tm14873,Tunnel Hoodlum (uncredited),ACTOR
221,83038,tm14873,Policeman (uncredited),ACTOR
222,58911,tm14873,Helicopter Pilot (uncredited),ACTOR
223,28432,tm14873,Homosexual (uncredited),ACTOR
224,83039,tm14873,Minor Role (uncredited),ACTOR
225,83040,tm14873,Newsman (uncredited),ACTOR
226,83041,tm14873,Underwear Chick (uncredited),ACTOR
227,83042,tm14873,Man in Truck (uncredited),ACTOR
228,15562,tm14873,Flower Vendor (uncredited),ACTOR
229,28171,tm14873,Big Black Man (uncredited),ACTOR
230,58618,tm14873,Homosexual (uncredited),ACTOR
231,83043,tm14873,Third Nude (uncredited),ACTOR
232,83044,tm14873,Hippie Girl (uncredited),ACTOR
233,83045,tm14873,Lady in Jaffe's Cafe (uncredited),ACTOR
234,11774,tm14873,Homicide Detective (uncredited),ACTOR
235,83046,tm14873,Car Driver (uncredited),ACTOR
236,27040,tm14873,Ann Mary Deacon (uncredited),ACTOR
237,56405,tm14873,Pedestrian Passing Harry's Car (uncredited),ACTOR
238,83047,tm14873,Hippie Guy (uncredited),ACTOR
239,357644,tm14873,Police Sergeant (uncredited),ACTOR
240,1254876,tm14873,Steve - Doctor (uncredited),ACTOR
241,1254791,tm14873,Fireman (uncredited),ACTOR
242,1254778,tm14873,First Nude (uncredited),ACTOR
243,1255103,tm14873,Bus Kid (uncredited),ACTOR
244,1254838,tm14873,Bus Kid (uncredited),ACTOR
245,1255106,tm14873,Bus Kid (uncredited),ACTOR
246,1255122,tm14873,Bus Kid (uncredited),ACTOR
247,1255589,tm14873,Mayor's Secretary (uncredited),ACTOR
248,56405,tm14873,unknown,DIRECTOR
249,20837,tm119281,Clyde Barrow,ACTOR
250,17170,tm119281,Bonnie Parker,ACTOR
251,16446,tm119281,C. W. Moss,ACTOR
252,15098,tm119281,Buck Barrow,ACTOR
253,22346,tm119281,Blanche,ACTOR
254,18249,tm119281,Frank Hamer,ACTOR
255,11347,tm119281,Ivan Moss,ACTOR
256,22347,tm119281,Velma Davis,ACTOR
257,22345,tm119281,Eugene Grizzard,ACTOR
258,22348,tm119281,Bonnie's mother (uncredited),ACTOR
259,22349,tm119281,Bank Teller (uncredited),ACTOR
260,345491,tm119281,Policeman (uncredited),ACTOR
261,22351,tm119281,Deputy (uncredited),ACTOR
262,22352,tm119281,Bank Guard (uncredited),ACTOR
263,22354,tm119281,Bonnie's Sister (uncredited),ACTOR
264,511857,tm119281,Sheriff Smoot (uncredited),ACTOR
265,22355,tm119281,unknown,DIRECTOR
266,14989,tm98978,Emmeline,ACTOR
267,44313,tm98978,Richard,ACTOR
268,36764,tm98978,Paddy Button,ACTOR
269,30068,tm98978,Arthur Lestrange,ACTOR
270,80677,tm98978,Lookout,ACTOR
271,66492,tm98978,Officer,ACTOR
272,80678,tm98978,Young Emmeline,ACTOR
273,80679,tm98978,Young Richard,ACTOR
274,80680,tm98978,Little Paddy,ACTOR
275,80681,tm98978,Infant Paddy,ACTOR
276,80682,tm98978,Sailor,ACTOR
277,80683,tm98978,Sailor,ACTOR
278,80684,tm98978,Sailor,ACTOR
279,28692,tm98978,unknown,DIRECTOR
280,16024,tm44204,Capt. Keith Mallory,ACTOR
281,16485,tm44204,Cpl. James Arthur Miller,ACTOR
282,16350,tm44204,Col. Andrea Stavros,ACTOR
283,29175,tm44204,Pvt. 'Butcher' Brown,ACTOR
284,16352,tm44204,Maj. Roy Franklin,ACTOR
285,29176,tm44204,Pvt. Spyros Pappadimos,ACTOR
286,21795,tm44204,Maria Pappadimos,ACTOR
287,29177,tm44204,Anna,ACTOR
288,29178,tm44204,Commodore Jensen / Prologue Narrator,ACTOR
289,4431,tm44204,Squadron Leader Howard Barnsby RAAF,ACTOR
290,29179,tm44204,Cohn,ACTOR
291,29180,tm44204,Maj. Baker,ACTOR
292,16493,tm44204,Weaver,ACTOR
293,27914,tm44204,Sgt. Grogan,ACTOR
294,16882,tm44204,SS Hauptman Sessler,ACTOR
295,11738,tm44204,Muesel,ACTOR
296,13701,tm44204,Nicolai,ACTOR
297,29181,tm44204,Commandant,ACTOR
298,29182,tm44204,Group Captain,ACTOR
299,613906,tm44204,Bride,ACTOR
300,29184,tm44204,Patrol Boat Captain,ACTOR
301,29185,tm44204,German Gunnery Officer,ACTOR
302,13433,tm44204,German Officer on Navarone,ACTOR
303,29187,tm44204,unknown,DIRECTOR
304,26187,tm67378,Dolworth,ACTOR
305,35196,tm67378,Fardan,ACTOR
306,24126,tm67378,Ehrengard,ACTOR
307,36499,tm67378,Jake,ACTOR
308,16444,tm67378,Jesus Raza,ACTOR
309,16488,tm67378,Maria,ACTOR
310,12463,tm67378,Grant,ACTOR
311,62767,tm67378,Ortega,ACTOR
312,62768,tm67378,Fierro,ACTOR
313,62769,tm67378,Padilla,ACTOR
314,62770,tm67378,Chiquita,ACTOR
315,57746,tm67378,Revolutionary,ACTOR
316,127918,tm67378,Revolutionary,ACTOR
317,23699,tm67378,Banker,ACTOR
318,534965,tm67378,Mexican Girl (uncredited),ACTOR
319,1461646,tm67378,Bandit (uncredited),ACTOR
320,58919,tm67378,Lady (uncredited),ACTOR
321,80218,tm67378,Bandit (uncredited),ACTOR
322,2209884,tm67378,Man at Door (uncredited),ACTOR
323,539684,tm67378,Hooper (uncredited),ACTOR
324,227842,tm67378,Jake's Prisoner (uncredited),ACTOR
325,2209736,tm67378,Mexican Servant (uncredited),ACTOR
326,101889,tm67378,Sheriff (uncredited),ACTOR
327,534354,tm67378,Deputy Sheriff (uncredited),ACTOR
328,650832,tm67378,Mexican Soldier (uncredited),ACTOR
329,23705,tm67378,unknown,DIRECTOR
330,25707,tm69997,Himself,ACTOR
331,191724,tm69997,Herself (uncredited),ACTOR
332,65063,tm69997,unknown,DIRECTOR
333,25056,tm16479,Bob Wallace,ACTOR
334,60326,tm16479,Phil Davis,ACTOR
335,74992,tm16479,Betty Haynes,ACTOR
336,74993,tm16479,Judy Haynes,ACTOR
337,41874,tm16479,General Waverly,ACTOR
338,27535,tm16479,Emma Allen,ACTOR
339,74994,tm16479,John,ACTOR
340,74995,tm16479,Susan Waverly,ACTOR
341,74996,tm16479,Dancer (uncredited),ACTOR
342,36157,tm16479,Anniversary Party Guest (uncredited),ACTOR
343,74997,tm16479,Jeep Driver (uncredited),ACTOR
344,25098,tm16479,Dancer (uncredited),ACTOR
345,100934,tm16479,Doris Lenz (uncredited),ACTOR
346,1023889,tm16479,Rita (uncredited),ACTOR
347,22477,tm16479,Club Patron (uncredited),ACTOR
348,14166,tm16479,Club Patron (uncredited),ACTOR
349,36504,tm16479,General Carlton (uncredited),ACTOR
350,422099,tm16479,Ed Harrison (uncredited),ACTOR
351,57838,tm16479,Train Conductor (uncredited),ACTOR
352,88997,tm16479,Station Master (uncredited),ACTOR
353,45687,tm16479,Landlord (uncredited),ACTOR
354,132394,tm16479,Mr. Herring (uncredited),ACTOR
355,71905,tm16479,Novello (uncredited),ACTOR
356,498631,tm16479,Albert (uncredited),ACTOR
357,14797,tm16479,unknown,DIRECTOR
358,173189,tm135083,Abu Siri,ACTOR
359,530033,tm135083,Hanuma,ACTOR
360,173191,tm135083,Qinawi,ACTOR
361,1321002,tm135083,Madbouli,ACTOR
362,557165,tm135083,Abu Gaber,ACTOR
363,557166,tm135083,Jadallah,ACTOR
364,557167,tm135083,Sa'idi traveller,ACTOR
365,557168,tm135083,unknown,ACTOR
366,557169,tm135083,Shawish Hassanein,ACTOR
367,557170,tm135083,unknown,ACTOR
368,557171,tm135083,unknown,ACTOR
369,538017,tm135083,Mansour,ACTOR
370,557172,tm135083,unknown,ACTOR
371,557173,tm135083,unknown,ACTOR
372,557178,tm135083,(as Assaad Kellada),ACTOR
373,555008,tm135083,Hallawatim,ACTOR
374,1521416,tm135083,unknown,ACTOR
375,1521414,tm135083,unknown,ACTOR
376,1321149,tm135083,unknown,ACTOR
377,1521441,tm135083,unknown,ACTOR
378,1521413,tm135083,unknown,ACTOR
379,1521412,tm135083,unknown,ACTOR
380,1521534,tm135083,unknown,ACTOR
381,1521409,tm135083,unknown,ACTOR
382,1521506,tm135083,unknown,ACTOR
383,1521407,tm135083,unknown,ACTOR
384,225932,tm135083,unknown,ACTOR
385,2342528,tm135083,Halawethom,ACTOR
386,173191,tm135083,unknown,DIRECTOR
387,218173,tm89386,Narrator (voice),ACTOR
388,41187,tm89386,unknown,DIRECTOR
389,15595,tm156453,Herself,ACTOR
390,1765,tm156453,Himself,ACTOR
391,529469,tm156453,Herself,ACTOR
392,529467,tm156453,Himself,ACTOR
393,37864,tm156453,Himself,ACTOR
394,208243,tm156453,Herself,ACTOR
395,70582,tm156453,Himself,ACTOR
396,488851,tm156453,Herself,ACTOR
397,32267,tm156453,Himself,ACTOR
398,473965,tm156453,Himself,ACTOR
399,529468,tm156453,unknown,DIRECTOR
400,173189,tm14350,Mohsen's Father,ACTOR
401,530826,tm14350,Qadry,ACTOR
402,216804,tm14350,Shaker,ACTOR
403,538123,tm14350,Souril,ACTOR
404,537218,tm14350,unknown,ACTOR
405,558944,tm14350,unknown,ACTOR
406,745894,tm14350,unknown,ACTOR
407,1326853,tm14350,unknown,ACTOR
408,493971,tm14350,unknown,ACTOR
409,479007,tm14350,unknown,ACTOR
410,745892,tm14350,unknown,ACTOR
411,540702,tm14350,The Sheikh,ACTOR
412,745900,tm14350,unknown,ACTOR
413,745891,tm14350,unknown,ACTOR
414,536986,tm14350,unknown,ACTOR
415,745890,tm14350,unknown,ACTOR
416,745889,tm14350,unknown,ACTOR
417,745888,tm14350,unknown,ACTOR
418,745887,tm14350,unknown,ACTOR
419,745886,tm14350,unknown,ACTOR
420,223449,tm14350,Ibrahim,ACTOR
421,323651,tm14350,unknown,ACTOR
422,530275,tm14350,unknown,ACTOR
423,452580,tm14350,Mohsen,ACTOR
424,1113158,tm14350,Yehya's Mother,ACTOR
425,740561,tm14350,unknown,ACTOR
426,173191,tm14350,unknown,DIRECTOR
427,216804,tm81728,Abd El-Hadi,ACTOR
428,530826,tm81728,Mohamed Abu Swelam,ACTOR
429,452578,tm81728,Mohammad Effendi,ACTOR
430,537218,tm81728,Hassuna,ACTOR
431,498370,tm81728,Khedr,ACTOR
432,676484,tm81728,Diab,ACTOR
433,451939,tm81728,Elwani,ACTOR
434,525264,tm81728,Wasifa,ACTOR
435,540702,tm81728,El Omda,ACTOR
436,1332498,tm81728,Khadra,ACTOR
437,1635403,tm81728,Mahmoud Bik,ACTOR
438,1320859,tm81728,Shenawy,ACTOR
439,1330957,tm81728,unknown,ACTOR
440,1014405,tm81728,unknown,ACTOR
441,173191,tm81728,unknown,DIRECTOR
442,6958,tm94651,Vijay Varma,ACTOR
443,104308,tm94651,Ravi Kapoor,ACTOR
444,105220,tm94651,Sheetal Sahni,ACTOR
445,57763,tm94651,Mr. Daaga,ACTOR
446,63303,tm94651,Balwant Singh,ACTOR
447,105226,tm94651,Sylvia,ACTOR
448,105221,tm94651,Tony,ACTOR
449,511559,tm94651,High School Principal,ACTOR
450,511558,tm94651,Ramnik Lal Tiwari,ACTOR
451,68725,tm94651,Prosecuting Lawyer,ACTOR
452,434348,tm94651,Judge,ACTOR
453,568116,tm94651,unknown,ACTOR
454,511561,tm94651,unknown,ACTOR
455,299653,tm94651,unknown,ACTOR
456,105228,tm94651,unknown,ACTOR
457,104310,tm94651,unknown,ACTOR
458,509316,tm94651,unknown,ACTOR
459,509943,tm94651,unknown,ACTOR
460,199763,tm94651,unknown,ACTOR
461,216331,tm94651,unknown,DIRECTOR
462,553375,tm27298,Saladin,ACTOR
463,225932,tm27298,Louisa de Lusignan,ACTOR
464,215296,tm27298,Issa (The Swimmer),ACTOR
465,558944,tm27298,"Virginia, Princess of Kerak",ACTOR
466,520600,tm27298,King Richard,ACTOR
467,381250,tm27298,Queen Berengaria,ACTOR
468,471620,tm27298,King Philip of France,ACTOR
469,152472,tm27298,unknown,ACTOR
470,530826,tm27298,"Conrad, Marquis of Montferrat",ACTOR
471,576037,tm27298,Duke Arthur,ACTOR
472,498370,tm27298,Prince of Akka,ACTOR
473,899933,tm27298,unknown,ACTOR
474,1533795,tm27298,unknown,ACTOR
475,1533801,tm27298,unknown,ACTOR
476,1533807,tm27298,unknown,ACTOR
477,2172269,tm27298,unknown,ACTOR
478,546021,tm27298,unknown,ACTOR
479,500657,tm27298,unknown,ACTOR
480,173191,tm27298,unknown,DIRECTOR
481,63665,tm100027,Ali Baba,ACTOR
482,134657,tm100027,Morjina,ACTOR
483,105220,tm100027,Fatima,ACTOR
484,57763,tm100027,Shamsher,ACTOR
485,514364,tm100027,unknown,ACTOR
486,223525,tm100027,unknown,ACTOR
487,221086,tm100027,unknown,ACTOR
488,358575,tm100027,unknown,ACTOR
489,219025,tm100027,episode (uncredited),ACTOR
490,434193,tm100027,unknown,DIRECTOR
491,514365,tm100027,unknown,DIRECTOR
492,225931,tm19608,Amal,ACTOR
493,15793,tm19608,Ahmed,ACTOR
494,219842,tm19608,Taher Pasha,ACTOR
495,173189,tm19608,Reyadh,ACTOR
496,540702,tm19608,Sabir,ACTOR
497,493971,tm19608,unknown,ACTOR
498,520600,tm19608,Selim,ACTOR
499,562959,tm19608,Hassan,ACTOR
500,988354,tm19608,(Lawyer),ACTOR
501,173191,tm19608,unknown,DIRECTOR
502,15793,tm204541,Ragab,ACTOR
503,225931,tm204541,Hamedah,ACTOR
504,225933,tm204541,Mamdouh,ACTOR
505,498370,tm204541,Ezzat,ACTOR
506,560735,tm204541,Ragab's Mother,ACTOR
507,152472,tm204541,Mamdouh's father,ACTOR
508,173191,tm204541,unknown,DIRECTOR
509,479396,tm259855,unknown,DIRECTOR
510,173252,tm356209,Shyam,ACTOR
511,150319,tm356209,Lata,ACTOR
512,550685,tm356209,Maria,ACTOR
513,132270,tm356209,Shobha,ACTOR
514,222315,tm356209,Cha Choo,ACTOR
515,222342,tm356209,unknown,DIRECTOR
516,11472,ts45948,Various Characters,ACTOR
517,1549,ts45948,Various Characters,ACTOR
518,11474,ts45948,Various Characters,ACTOR
519,11475,ts45948,Various Characters,ACTOR
520,11476,ts45948,Various Characters,ACTOR
521,16383,ts45948,unknown,DIRECTOR
522,216804,tm200475,unknown,ACTOR
523,592619,tm200475,unknown,ACTOR
524,339953,tm200475,unknown,ACTOR
525,943833,tm200475,unknown,ACTOR
526,943835,tm200475,unknown,ACTOR
527,479396,tm200475,unknown,DIRECTOR
528,530826,tm90896,Madbouli,ACTOR
529,557940,tm90896,unknown,ACTOR
530,225934,tm90896,Tolba,ACTOR
531,534050,tm90896,Fatma,ACTOR
532,391527,tm90896,Ibrahim,ACTOR
533,744938,tm90896,Tafida,ACTOR
534,676484,tm90896,unknown,ACTOR
535,1095845,tm90896,unknown,ACTOR
